,element,ecutoff,dE
1,Sb,35.0,0.4579761731
2,Sb,40.0,0.4579761731
3,Sb,45.0,0.4579761731
4,Sb,50.0,0.4579761731
5,Sb,55.0,0.4579761731
6,Sb,60.0,0.4579761731
7,Sb,65.0,0.4579761731
8,Sb,70.0,0.4579761731
9,Sb,75.0,0.4579761731
10,Sb,80.0,0.4579761731
11,Sb,90.0,0.4579761731
12,Sb,100.0,0.4579761731
13,Sb,120.0,0.4579761731
14,Sb,150.0,0.4579761731
15,Sb,200.0,0.4579761731
0,Sc,30.0,0.2323073163
1,Sc,35.0,0.2323073163
2,Sc,40.0,0.2323073163
3,Sc,45.0,0.2323073163
4,Sc,50.0,0.2323073163
5,Sc,55.0,0.2323073163
6,Sc,60.0,0.2323073163
7,Sc,65.0,0.2323073163
8,Sc,70.0,0.2323073163
9,Sc,75.0,0.2323073163
10,Sc,80.0,0.2323073163
11,Sc,90.0,0.2323073163
12,Sc,100.0,0.2323073163
13,Sc,120.0,0.2323073163
14,Sc,150.0,0.2323073163
15,Sc,200.0,0.2323073163
0,Se,30.0,0.0894406123
1,Se,35.0,0.0894406123
2,Se,40.0,0.0894406123
3,Se,45.0,0.0894406123
4,Se,50.0,0.0894406123
5,Se,55.0,0.0894406123
6,Se,60.0,0.0894406123
7,Se,65.0,0.0894406123
8,Se,70.0,0.0894406123
9,Se,75.0,0.0894406123
10,Se,80.0,0.0894406123
11,Se,90.0,0.0894406123
12,Se,100.0,0.0894406123
13,Se,120.0,0.0894406123
14,Se,150.0,0.0894406123
15,Se,200.0,0.0894406123
0,Si,30.0,0.0179325133
1,Si,35.0,0.0179325133
2,Si,40.0,0.0179325133
3,Si,45.0,0.0179325133
4,Si,50.0,0.0179325133
5,Si,55.0,0.0179325133
6,Si,60.0,0.0179325133
7,Si,65.0,0.0179325133
8,Si,70.0,0.0179325133
9,Si,75.0,0.0179325133
10,Si,80.0,0.0179325133
11,Si,90.0,0.0179325133
12,Si,100.0,0.0179325133
13,Si,120.0,0.0179325133
14,Si,150.0,0.0179325133
15,Si,200.0,0.0179325133
0,Sn,30.0,0.1746515814
1,Sn,35.0,0.1746515814
2,Sn,40.0,0.1746515814
3,Sn,45.0,0.1746515814
4,Sn,50.0,0.1746515814
5,Sn,55.0,0.1746515814
6,Sn,60.0,0.1746515814
7,Sn,65.0,0.1746515814
8,Sn,70.0,0.1746515814
9,Sn,75.0,0.1746515814
10,Sn,80.0,0.1746515814
11,Sn,90.0,0.1746515814
12,Sn,100.0,0.1746515814
13,Sn,120.0,0.1746515814
14,Sn,150.0,0.1746515814
15,Sn,200.0,0.1746515814
0,Sr,30.0,0.0686208053
1,Sr,35.0,0.0686208053
2,Sr,40.0,0.0686208053
3,Sr,45.0,0.0686208053
4,Sr,50.0,0.0686208053
5,Sr,55.0,0.0686208053
6,Sr,60.0,0.0686208053
7,Sr,65.0,0.0686208053
8,Sr,70.0,0.0686208053
9,Sr,75.0,0.0686208053
10,Sr,80.0,0.0686208053
11,Sr,90.0,0.0686208053
12,Sr,100.0,0.0686208053
13,Sr,120.0,0.0686208053
0,Ta,30.0,0.38325333850000004
1,Ta,35.0,0.38325333850000004
2,Ta,40.0,0.38325333850000004
3,Ta,45.0,0.38325333850000004
4,Ta,50.0,0.38325333850000004
5,Ta,55.0,0.38325333850000004
6,Ta,60.0,0.38325333850000004
7,Ta,65.0,0.38325333850000004
8,Ta,70.0,0.38325333850000004
9,Ta,75.0,0.38325333850000004
10,Ta,80.0,0.38325333850000004
11,Ta,90.0,0.38325333850000004
12,Ta,100.0,0.38325333850000004
13,Ta,120.0,0.38325333850000004
14,Ta,150.0,0.38325333850000004
15,Ta,200.0,0.38325333850000004
0,Tc,30.0,0.2474776854
1,Tc,35.0,0.2474776854
2,Tc,40.0,0.2474776854
3,Tc,45.0,0.2474776854
4,Tc,50.0,0.2474776854
5,Tc,55.0,0.2474776854
6,Tc,60.0,0.2474776854
7,Tc,65.0,0.2474776854
8,Tc,70.0,0.2474776854
9,Tc,75.0,0.2474776854
10,Tc,80.0,0.2474776854
11,Tc,90.0,0.2474776854
12,Tc,100.0,0.2474776854
13,Tc,120.0,0.2474776854
14,Tc,150.0,0.2474776854
15,Tc,200.0,0.2474776854
0,Te,30.0,0.3892261171
1,Te,35.0,0.3892261171
2,Te,40.0,0.3892261171
3,Te,45.0,0.3892261171
4,Te,50.0,0.3892261171
5,Te,55.0,0.3892261171
6,Te,60.0,0.3892261171
7,Te,65.0,0.3892261171
8,Te,70.0,0.3892261171
9,Te,75.0,0.3892261171
10,Te,80.0,0.3892261171
11,Te,90.0,0.3892261171
12,Te,100.0,0.3892261171
13,Te,120.0,0.3892261171
14,Te,150.0,0.3892261171
15,Te,200.0,0.3892261171
0,Ti,30.0,0.08731106150000001
1,Ti,35.0,0.08731106150000001
2,Ti,40.0,0.08731106150000001
3,Ti,45.0,0.08731106150000001
4,Ti,50.0,0.08731106150000001
5,Ti,55.0,0.08731106150000001
6,Ti,60.0,0.08731106150000001
7,Ti,65.0,0.08731106150000001
8,Ti,70.0,0.08731106150000001
9,Ti,75.0,0.08731106150000001
10,Ti,80.0,0.08731106150000001
11,Ti,90.0,0.08731106150000001
12,Ti,100.0,0.08731106150000001
13,Ti,120.0,0.08731106150000001
14,Ti,150.0,0.08731106150000001
15,Ti,200.0,0.08731106150000001
0,Tl,30.0,0.057427517500000004
1,Tl,35.0,0.057427517500000004
2,Tl,40.0,0.057427517500000004
3,Tl,45.0,0.057427517500000004
4,Tl,50.0,0.057427517500000004
5,Tl,55.0,0.057427517500000004
6,Tl,60.0,0.057427517500000004
7,Tl,65.0,0.057427517500000004
8,Tl,70.0,0.057427517500000004
9,Tl,75.0,0.057427517500000004
10,Tl,80.0,0.057427517500000004
11,Tl,90.0,0.057427517500000004
12,Tl,100.0,0.057427517500000004
13,Tl,120.0,0.057427517500000004
14,Tl,150.0,0.057427517500000004
15,Tl,200.0,0.057427517500000004
0,V,30.0,0.5700618761
1,V,35.0,0.5700618761
2,V,40.0,0.5700618761
3,V,45.0,0.5700618761
4,V,50.0,0.5700618761
5,V,55.0,0.5700618761
6,V,60.0,0.5700618761
7,V,65.0,0.5700618761
8,V,70.0,0.5700618761
9,V,75.0,0.5700618761
10,V,80.0,0.5700618761
11,V,90.0,0.5700618761
12,V,100.0,0.5700618761
13,V,120.0,0.5700618761
14,V,150.0,0.5700618761
15,V,200.0,0.5700618761
0,W,30.0,0.406702153
1,W,35.0,0.406702153
2,W,40.0,0.406702153
3,W,45.0,0.406702153
4,W,50.0,0.406702153
5,W,55.0,0.406702153
6,W,60.0,0.406702153
7,W,65.0,0.406702153
8,W,70.0,0.406702153
9,W,75.0,0.406702153
10,W,80.0,0.406702153
11,W,90.0,0.406702153
12,W,100.0,0.406702153
13,W,120.0,0.406702153
14,W,150.0,0.406702153
15,W,200.0,0.406702153
0,Xe,30.0,0.0425334429
1,Xe,35.0,0.0425334429
2,Xe,40.0,0.0425334429
3,Xe,45.0,0.0425334429
4,Xe,50.0,0.0425334429
5,Xe,55.0,0.0425334429
6,Xe,60.0,0.0425334429
7,Xe,65.0,0.0425334429
8,Xe,70.0,0.0425334429
9,Xe,75.0,0.0425334429
10,Xe,80.0,0.0425334429
11,Xe,90.0,0.0425334429
12,Xe,100.0,0.0425334429
13,Xe,120.0,0.0425334429
14,Xe,150.0,0.0425334429
15,Xe,200.0,0.0425334429
0,Y,30.0,0.12830966030000002
1,Y,35.0,0.12830966030000002
2,Y,40.0,0.12830966030000002
3,Y,45.0,0.12830966030000002
4,Y,50.0,0.12830966030000002
5,Y,55.0,0.12830966030000002
6,Y,60.0,0.12830966030000002
7,Y,65.0,0.12830966030000002
8,Y,70.0,0.12830966030000002
9,Y,75.0,0.12830966030000002
10,Y,80.0,0.12830966030000002
11,Y,90.0,0.12830966030000002
12,Y,100.0,0.12830966030000002
13,Y,120.0,0.12830966030000002
14,Y,150.0,0.12830966030000002
15,Y,200.0,0.12830966030000002
0,Zn,30.0,0.3960975317
1,Zn,35.0,0.3960975317
2,Zn,40.0,0.3960975317
3,Zn,45.0,0.3960975317
4,Zn,50.0,0.3960975317
5,Zn,55.0,0.3960975317
6,Zn,60.0,0.3960975317
7,Zn,65.0,0.3960975317
8,Zn,70.0,0.3960975317
9,Zn,75.0,0.3960975317
10,Zn,80.0,0.3960975317
11,Zn,90.0,0.3960975317
12,Zn,100.0,0.3960975317
13,Zn,120.0,0.3960975317
14,Zn,140.0,0.0
15,Zn,150.0,0.0
16,Zn,160.0,0.0
17,Zn,200.0,0.0
0,Zr,30.0,0.11902896
1,Zr,35.0,0.11902896
2,Zr,40.0,0.11902896
3,Zr,45.0,0.11902896
4,Zr,50.0,0.11902896
5,Zr,55.0,0.11902896
6,Zr,60.0,0.11902896
7,Zr,65.0,0.11902896
8,Zr,70.0,0.11902896
9,Zr,75.0,0.11902896
10,Zr,80.0,0.11902896
11,Zr,90.0,0.11902896
12,Zr,100.0,0.11902896
13,Zr,120.0,0.11902896
14,Zr,150.0,0.11902896
15,Zr,200.0,0.11902896
