structure,total_energy
Eu1Cu1,-519.030856915
Mn1Co1,-254.640386605
Pm1Pr1,-531.648722875
Sr1Se1,-56.833124005
Rb1S1,-36.477390105
Tb1Al1,-379.57815733
Sc1Sb1,-138.27288975
Ir1Pt1,-196.103165415
Ba1Se1,-236.667276315
Ce1P1,-244.788539345
Gd1Zn1,-568.550299795
Sc1In1,-118.13903149
In1Hg1,-227.290604955
Ce1Hg1,-392.766709855
Ce1Tl1,-309.993232095
Er1As1,-447.91074391
Ce1Bi1,-330.20643823
In1Sb1,-164.49837028
Tl1I1,-258.859650655
Nd1S1,-277.284825585
Ag1Cl1,-160.23702577
Lu1Pd1,-662.301211395
Yb1In1,-573.459176945
Tb1Rh1,-468.781112795
Nd1N1,-275.30021143
Ho1Se1,-432.43978933
Yb1Pb1,-930.974180555
Ce1Zn1,-468.288998875
Pr1N1,-260.867604455
In1P1,-79.22550098
Cr1Au1,-225.00769855
Se1S1,-33.63814047
Zr1Co1,-198.721623395
Cs1Se1,-53.13575187
Er1Au1,-576.178793805
Yb1Sn1,-580.7292388
Sr1Si1,-40.710463425
Tb1Au1,-497.720056495
Eu1Se1,-339.062116725
Rb1N1,-34.38329053
Eu1Hg1,-472.411149115
Sm1Rh1,-406.804531345
Ca1C1,-46.38609669
Ti1N1,-69.785154035
Si1Mo1,-74.26704186
Pr1P1,-257.83940455
Nb1Ir1,-255.887871415
Co1N1,-159.182232815
Si1P1,-12.62536402
Mn1Ga1,-243.032493265
Re1Mo1,-163.75272724
Ho1Cd1,-471.47553844
Cr1Fe1,-251.136533135
Ga1Fe1,-300.961944075
Re1Ir1,-186.035538235
Ho1As1,-419.802318155
Ni1Pt1,-276.82495678
Bi1Sb1,-184.79341011
Ir1N1,-100.78619676
Pm1Y1,-327.280014085
Tl1F1,-96.652086665
Gd1Tl1,-410.294804595
Sm1O1,-319.052074145
Ti1Ru1,-153.887990515
Ni1Rh1,-279.981346485
Tl1O1,-92.874488085
Ge1P1,-113.61707846
H1Pd1,-127.145337365
Zn1Pd1,-357.22382628
Co1Rh1,-257.563479065
Dy1Cu1,-586.280530215
Tb1Cd1,-421.12810067
N1Cl1,-26.505697425
Cr1Ir1,-178.537983815
Ce1N1,-247.844339265
Al1O1,-39.860043855
Ti1Cu1,-261.33301589
V1Os1,-171.792804995
Cd1C1,-69.72448558
Rb1Te1,-37.69312883
Er1Zr1,-488.34486823
Sm1N1,-308.499479705
Fe1Ru1,-257.71088725
La1C1,-234.836794455
V1W1,-152.01857553
Ga1Ag1,-281.11158281
Y1N1,-56.534432815
Cs1N1,-41.382470975
Li1Rh1,-115.636479625
Sc1Au1,-183.32899952
Tb1Cu1,-562.0602426
Fe1Re1,-258.643608965
Cr1H1,-88.27409571
Tc1Rh1,-189.075260675
Ca1Ni1,-208.95890904
Er1Te1,-452.08116298
Cs1Au1,-168.82672231
Zr1Nb1,-214.57429925
In1Ni1,-243.75406447
Zr1Zn1,-280.208471465
Ca1I1,-223.96026241
Au1N1,-147.31831343
Ho1N1,-420.77134416
Co1Ni1,-320.65628081
Tb1Nd1,-625.398394255
Sc1Ag1,-189.52973331
Tl1Sb1,-164.644890905
Tm1Cu1,-670.686427005
Cs1Cl1,-48.193518065
Li1Pd1,-133.770772395
Dy1Rh1,-493.000399755
Mn1Ru1,-199.79676453
Hg1S1,-167.09594781
Er1Cu1,-640.51670269
Na1Br1,-67.95288982
Tm1Se1,-490.716867535
Eu1Mg1,-333.62382591
K1N1,-65.61879023
Sn1P1,-86.48603742
Co1Pd1,-275.67007239
Tm1Mg1,-485.28333079
K1P1,-62.64534977
B1P1,-10.231768905
Pt1C1,-114.23191478
Mn1Rh1,-213.941794745
Li1Pt1,-112.502827035
Nb1Pd1,-291.587572625
Ag1O1,-164.09955023
Sc1Zn1,-276.549505405
Te1Pb1,-442.945792225
I1N1,-196.3560285
Sm1Al1,-317.600286285
H1Rh1,-109.018989605
Fe1Pd1,-289.98547227
Mg1Tl1,-88.72309385
Ba1Hg1,-369.99354541
Sc1Rh1,-154.41616432
Mg1C1,-25.329160395
Sm1Br1,-318.66972367
Nd1Ag1,-408.733364725
Ca1S1,-49.58948477
Si1Ge1,-112.263523195
Zr1H1,-50.167605945
W1C1,-88.531419405
Y1Ag1,-189.961465965
Ni1C1,-180.527054195
Tm1Hg1,-624.05181027
Ga1Rh1,-246.002429765
Mn1Hg1,-260.54642306
Lu1Mg1,-552.037147375
Ta1S1,-82.944058995
Er1Tl1,-511.16155502
Cd1Sb1,-153.100752895
